expo,table,project,sponsors,link,category,special
1,22,HazardNet,,https://sand-hacks-2026.devpost.com/submissions/922460-hazardnet,SanD Hacks 2026,
1,27,STRATOS,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/922567-stratos,SanD Hacks 2026,Most Innovative Project
1,21,SuitUp,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/922597-suitup,SanD Hacks 2026,Most Innovative Project
1,1,FreeEats,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/922956-freeeats,SanD Hacks 2026,Most Innovative Project
1,4,Recall,,https://sand-hacks-2026.devpost.com/submissions/923002-recall,SanD Hacks 2026,
1,6,CleanPlate,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923005-cleanplate,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge"
1,3,CloseIt,Multi-Agent Systems Challenge,https://sand-hacks-2026.devpost.com/submissions/923007-closeit,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,29,Execution-Aware Shipping Agent for CoffeeAGNTCY,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923027-execution-aware-shipping-agent-for-coffeeagntcy,SanD Hacks 2026,
1,16,PlanWise,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923061-planwise,SanD Hacks 2026,Most Innovative Project
1,33,Beam - Steam API,,https://sand-hacks-2026.devpost.com/submissions/923105-beam-steam-api,SanD Hacks 2026,Most Innovative Project
1,32,Crime Catcher,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923128-crime-catcher,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,12,Déjà View,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923135-deja-view,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,13,SnapChef,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923146-snapchef,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge, Best use of EyePop.ai"
1,5,ViewPoint,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923147-viewpoint,SanD Hacks 2026,Most Innovative Project
1,18,Agntcity,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923150-agntcity,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge"
1,2,Silent Speech Lip Reading,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923159-silent-speech-lip-reading,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,9,TideWatch,Multi-Agent Systems Challenge,https://sand-hacks-2026.devpost.com/submissions/923174-tidewatch,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,23,Club Cal,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923181-club-cal,SanD Hacks 2026,Most Innovative Project
1,30,Travel AGNTCY,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923182-travel-agntcy,SanD Hacks 2026,Multi-Agent Systems Challenge
1,15,LectureEngage,Multi-Agent Systems Challenge,https://sand-hacks-2026.devpost.com/submissions/923197-lectureengage,SanD Hacks 2026,Best use of EyePop.ai
1,19,BinTek,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923199-bintek,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,24,TriSe: Triton Seekers,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923201-trise-triton-seekers,Lovable No-Code Hackathon,
1,8,Local Launchpad,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923202-local-launchpad,SanD Hacks 2026,Most Innovative Project
1,25,MatchHIRED,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923205-matchhired,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge, Best use of EyePop.ai"
1,26,LungScapeAI,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923206-lungscapeai,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge"
1,20,CareerBoost AI,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923207-careerboost-ai,SanD Hacks 2026,
1,14,Guide Dog for Visually Impaired,Multi-Agent Systems Challenge,https://sand-hacks-2026.devpost.com/submissions/923212-guide-dog-for-visually-impaired,SanD Hacks 2026,
1,31,BreadCrumb,,https://sand-hacks-2026.devpost.com/submissions/923218-breadcrumb,Lovable No-Code Hackathon,"Most Innovative Project, Multi-Agent Systems Challenge, Best use of EyePop.ai"
1,7,MAADS - Multi Agent Architecture Design System,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923219-maads-multi-agent-architecture-design-system,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge"
1,11,Fire Risk Detection System,Most Innovative Project,https://sand-hacks-2026.devpost.com/submissions/923222-fire-risk-detection-system,SanD Hacks 2026,"Most Innovative Project, Best use of EyePop.ai"
1,10,Lungo+,Best use of EyePop.ai,https://sand-hacks-2026.devpost.com/submissions/923225-lungo,SanD Hacks 2026,
1,17,FitMyPrep,,https://sand-hacks-2026.devpost.com/submissions/923232-fitmyprep,SanD Hacks 2026,"Most Innovative Project, Multi-Agent Systems Challenge"
1,28,TriSe: Triton Seekers,Multi-Agent Systems Challenge,https://sand-hacks-2026.devpost.com/submissions/923267-trise-triton-seekers,Lovable No-Code Hackathon,
